ANO	ID_BARRIO	ID_DISTRITO	ID_USO	NUM_INMUEBLES	ANO_CONS_MEDIO	SUP_CONS	SUP_SUELO	VALOR_CATASTRAL
2014	011	01	A	3034	1969	214457		129525903.84
2014	011	01	C	1407	1921	223552		407605466.44
2014	011	01	E	36	1937	62963		75828716
2014	011	01	G	254	1919	114226		195413848.02
2014	011	01	I	22	1942	13228		11807949.49
2014	011	01	K	8	1946	7238		10614658.96
2014	011	01	M	47			130010	19915201.81
2014	011	01	O	559	1947	196893		340784134.7
2014	011	01	P	15	1891	197518		281666751.43
2014	011	01	R	17	1884	102718		114254183.76
2014	011	01	T	6	1941	86233		156383941.89
2014	011	01	V	13133	1928	1367429		1856664182.99
2014	011	01	Y	11	1939	25101		25184133.43
2014	012	01	A	3989	1974	261306		140312140.59
2014	012	01	C	2630	1925	393880		574936352.75
2014	012	01	E	48	1920	184010		210333924.76
2014	012	01	G	114	1919	56970		88238015.63
2014	012	01	I	25	1938	3677		2699860.87
2014	012	01	K	2	1988	1092		1413430.17
2014	012	01	M	36			19914	16791454.5
2014	012	01	O	176	1944	90991		85483632.55
2014	012	01	P	3	1918	18576		18586882.51
2014	012	01	R	8	1865	17785		15345569.12
2014	012	01	T	7	1935	21278		28170766.1
2014	012	01	V	24603	1927	1984457		2467074544.58
2014	012	01	Y	9	1982	8165		8949180.47
2014	013	01	A	1532	1967	119842		87283393.56
2014	013	01	C	858	1916	146986		285597289.51
2014	013	01	E	22	1952	57893		112294811.69
2014	013	01	G	201	1950	277754		542910593.51
2014	013	01	I	9	1945	13510		13005693.38
2014	013	01	K	1	1917	260		372685.34
2014	013	01	M	6			1817	4622966
2014	013	01	O	369	1946	420640		946732510.93
2014	013	01	P	23	1934	219215		316172247.13
2014	013	01	R	8	1868	27211		25747882.38
2014	013	01	T	6	1929	29081		39020249.56
2014	013	01	V	6456	1921	774864		1177535857.59
2014	013	01	Y	2	1930	1467		1607416.91
2014	014	01	A	2878	1977	186131		116947886.59
2014	014	01	C	1326	1923	231296		518477250.13
2014	014	01	E	37	1942	48937		64809462.32
2014	014	01	G	76	1944	58412		125226330.71
2014	014	01	I	15	1965	2778		2742294.87
2014	014	01	K	10	1975	3335		6710735.12
2014	014	01	M	18			16526	4662651.32
2014	014	01	O	560	1945	436321		918192065.1
2014	014	01	P	23	1990	147805		247743143.93
2014	014	01	R	22	1857	19366		25850058.09
2014	014	01	T	4	1922	13082		22667110.59
2014	014	01	V	10217	1928	1335300		2159104673.83
2014	014	01	Y	5	1973	10576		18589952.16
2014	015	01	A	4751	1974	267250		161123772.98
2014	015	01	C	1722	1923	330104		785745526.18
2014	015	01	E	32	1939	84399		87111997.27
2014	015	01	G	131	1918	141801		268687260
2014	015	01	I	45	1931	12558		14141328.44
2014	015	01	K	7	1958	2009		2976521.69
2014	015	01	M	14			4413	3989120.45
2014	015	01	O	734	1955	382141		655640926.8
2014	015	01	P	16	1952	156270		213494712.91
2014	015	01	R	16	1902	89395		72996905.23
2014	015	01	T	1	1900	159		215200.63
2014	015	01	V	19645	1929	1811563		2496611676.55
2014	015	01	Y	19	1923	8660		9225742.26
2014	016	01	A	818	1954	102133		67395619.86
2014	016	01	C	1250	1916	384213		1430993026.7
2014	016	01	E	5	1926	17171		25943068.88
2014	016	01	G	209	1935	183426		328191947.07
2014	016	01	I	6	1943	307		290254.82
2014	016	01	K	1	1890	797		482127.3
2014	016	01	M	40			28578	5464106.02
2014	016	01	O	942	1942	342026		607988820.99
2014	016	01	P	11	1919	128597		180020893.16
2014	016	01	R	8	1817	18134		15887862.22
2014	016	01	T	7	1936	23332		38088681.69
2014	016	01	V	4433	1918	641754		907300608.02
2014	016	01	Y	1	1925	2109		1435914.67
2014	021	02	A	4913	1993	278393		124955996.7
2014	021	02	C	633	1967	85820		114249046.9
2014	021	02	E	8	1962	18543		18567081.58
2014	021	02	G	2	1992	20648		35918543.78
2014	021	02	I	37	1985	33409		28060929.6
2014	021	02	K	9	1985	112105		159370258.93
2014	021	02	M	14			110132	82374084.9
2014	021	02	O	125	1975	58122		72858778.52
2014	021	02	R	1	1965	63		72920.38
2014	021	02	T	1	1965	2576		3814484.87
2014	021	02	V	10714	1971	993366		1287640594.8
2014	021	02	Y	5	1989	49821		59525231.02
2014	022	02	A	8716	1990	491826		230250942.17
2014	022	02	C	1198	1974	177267		245854320.23
2014	022	02	E	29	1979	27559		29128014.5
2014	022	02	G	2	1990	6650		9870548.94
2014	022	02	I	41	1977	19297		13303467.04
2014	022	02	K	10	1983	12221		9253841.65
2014	022	02	M	13			44292	5221165
2014	022	02	O	173	1973	47237		57009484.47
2014	022	02	P	8	1978	8201		7871945.65
