ccaa,cpro,cmun,dist,secc,t1_1,t2_1,t2_2,t3_1,t3_2,t3_3,t4_1,t4_2,t4_3,t4_4,t4_5,t4_6,t4_7,t4_8,t5_1,t5_2,t5_3,t5_4,t5_5,t5_6,t5_7,t5_8,t5_9,t5_10,t5_11,t5_12,t5_13,t5_14,t5_15,t5_16,t6_1,t6_2,t7_1,t7_2,t7_3,t7_4,t7_5,t7_6,t8_1,t8_2,t8_3,t8_4,t9_1,t9_2,t9_3,t9_4,t9_5,t9_6,t10_1,t10_2,t10_3,t10_4,t10_5,t11_1,t11_2,t11_3,t11_4,t11_5,t11_6,t11_7,t11_8,t11_9,t11_10,t11_11,t11_12,t11_13,t11_14,t11_15,t12_1,t12_2,t12_3,t12_4,t12_5,t12_6,t13_1,t13_2,t13_3,t13_4,t13_5,t13_6,t13_7,t13_8,t13_9,t13_10,t13_11,t13_12,t14_1,t14_2,t14_3,t14_4,t14_5,t14_6,t14_7,t14_8,t14_9,t14_10,t14_11,t14_12,t15_2,t15_3,t15_5,t15_6,t15_8,t15_9,t15_11,t15_12,t15_14,t15_15,t15_16,t16_1,t17_1,t17_2,t17_3,t18_1,t18_2,t18_3,t18_4,t18_5,t18_6,t19_1,t19_2,t19_3,t19_4,t19_5,t19_6,t19_7,t19_8,t19_9,t19_10,t20_1,t20_2,t20_3,t20_4,t20_5,t20_6,t20_7,t20_8,t20_9,t21_1,t22_1,t22_2,t22_3,t22_4,t22_5,t22_6
19,52,001,01,001,1030,625,405,170,705,150,885,0,0,105,40,0,0,0,885,,,,,,,95,,,,,,,,,890,135,130,425,70,40,280,85,540,80,350,55,160,15,610,95,125,25,500,340,20,15,155,170,320,10,0,315,30,0,20,0,0,15,0,0,40,115,15,115,80,470,180,170,0,15,45,70,45,30,305,160,95,85,130,40,0,15,80,35,80,0,400,70,180,0,160,15,,,,,80,,410,60,165,,170,440,425,15,5,25,145,0,200,55,0,,,,,105,70,80,,,,,,,,145,130,,,,425,175,50,100,50,30,20
19,52,001,01,002,2280,1200,1080,615,1525,140,1980,0,0,300,0,0,0,0,1930,,,,,,100,200,,,,,,,,,2035,250,300,820,80,315,705,60,1110,95,925,155,500,115,1395,135,140,0,1145,1020,0,25,95,615,495,35,0,990,30,0,0,0,0,10,10,0,30,65,125,70,300,990,185,615,45,80,40,30,100,200,580,410,140,45,300,315,35,90,70,0,295,10,965,20,170,15,500,115,100,25,40,25,270,35,935,55,185,0,615,650,635,5,10,150,370,0,80,10,25,,,55,,275,,,,,,,,130,125,130,195,,,,635,45,135,90,185,130,55
19,52,001,02,001,2130,1270,860,820,1175,135,730,,,165,,,965,,595,,,,,,45,,,,,,,965,,,635,1495,560,640,70,260,535,65,335,940,305,555,75,740,425,750,135,0,1095,925,0,75,40,820,250,,,830,95,,,,,,,,,,10,150,105,270,775,820,0,10,85,65,30,70,155,115,440,335,560,260,10,0,15,135,50,50,205,65,275,500,75,740,,,,,70,,240,,730,,820,730,640,10,80,50,10,0,280,265,35,,,,,290,55,70,55,,,,,,80,380,,,,,640,130,130,45,80,240,15
19,52,001,02,002,1775,840,935,320,1205,250,1500,20,0,255,0,0,0,0,1475,,,,,,,200,,,,,,,,,1550,220,175,570,95,140,635,155,750,90,805,130,260,60,1045,160,250,0,805,735,60,25,150,320,480,10,0,655,75,0,20,40,0,25,0,0,25,125,60,120,195,855,225,320,20,40,25,90,90,105,415,440,110,115,175,140,10,50,110,10,135,60,815,40,225,0,260,60,60,0,75,40,95,100,780,75,195,30,320,650,590,0,60,25,160,0,280,90,30,,,,75,240,80,,,,,,,,150,135,215,,,,590,140,120,100,145,40,50
19,52,001,02,003,1715,960,755,385,1120,205,1425,0,0,280,0,0,5,0,1420,,,,,,,265,,,,,,,,,1440,275,175,665,120,210,455,90,770,190,665,85,270,115,960,160,205,0,740,880,30,10,50,370,335,35,15,755,105,0,0,30,0,10,0,0,20,30,75,80,90,495,585,385,45,30,50,30,35,55,310,190,350,240,175,210,0,75,20,60,85,5,475,20,585,0,270,115,75,0,60,20,20,70,420,80,545,40,385,650,550,5,100,165,240,10,115,10,10,,,,65,115,120,80,,,,,,,65,220,75,,,,550,130,110,60,110,90,50
19,52,001,03,001,1400,715,685,320,770,310,795,,,605,,,,,745,,,,,,355,250,,,,,,,,,1100,300,125,450,140,200,320,170,560,150,535,150,250,70,570,200,275,30,655,610,0,25,110,320,310,,,425,185,,,,,,,,,100,175,300,95,430,80,320,45,130,190,110,80,10,265,165,10,70,125,200,110,65,215,85,95,0,345,80,80,0,250,70,,,190,110,,,385,,,,320,410,385,10,20,105,,,145,,,,,115,,,,,,,,,,,120,65,,,,,385,70,155,,,,
19,52,001,03,002,2420,1225,1195,945,1350,125,1515,10,0,865,30,0,0,0,1350,160,,,,,250,615,,,,,,,,,1615,805,410,770,45,535,580,75,790,435,825,370,710,235,795,555,105,15,1445,805,25,100,50,945,470,25,0,775,30,0,25,0,0,80,20,0,0,50,95,515,205,525,130,945,35,60,265,250,125,80,310,215,80,50,410,535,45,50,185,330,180,25,425,105,70,65,710,235,40,55,480,35,205,0,495,30,130,0,945,640,635,0,10,130,70,40,395,0,0,,215,120,145,,85,,,,,,,195,220,85,,,,,635,165,10,125,105,135,95
19,52,001,04,001,1250,615,635,340,765,145,575,,,665,,,,,550,,,,,,190,480,,,,,,,,,745,505,170,425,25,170,345,115,350,265,395,240,240,100,365,405,145,0,570,490,0,35,155,340,230,,,440,,,,,,,,,,90,135,200,120,435,20,340,50,85,95,105,25,95,265,170,10,10,170,170,90,45,35,170,55,65,305,130,20,0,240,100,,,200,,110,,380,,,,340,460,405,5,50,,,,330,,,,70,,125,,,,,,,,115,,95,120,,,,,405,80,90,,,,
19,52,001,04,002,2790,1445,1345,615,1845,330,2020,0,0,770,0,0,0,0,1860,160,0,0,0,0,330,435,0,0,0,0,0,0,0,0,2190,595,415,840,190,195,1010,140,1065,380,1130,215,505,110,1460,385,225,105,1360,1300,10,35,90,615,735,10,0,1060,240,0,10,0,0,25,5,0,15,70,355,705,385,685,50,615,60,295,385,320,300,85,265,420,20,25,415,195,230,125,515,190,330,55,565,120,50,0,505,110,260,95,535,170,315,65,685,0,50,0,615,740,710,0,30,290,10,55,250,40,65,,90,240,70,110,125,,,,,,,125,345,45,,,,,710,60,130,140,100,170,110
19,52,001,04,003,2555,1375,1180,710,1645,205,1695,0,0,860,0,0,0,0,1605,,,,,,645,215,,,,,,,,,2250,305,380,895,100,330,750,105,1255,120,995,185,620,90,1455,190,175,30,1375,975,0,75,135,700,675,0,0,875,100,0,0,0,5,65,0,0,30,105,275,300,535,615,125,710,100,175,150,155,355,180,350,265,45,80,380,330,255,15,175,130,510,25,570,45,125,0,620,90,125,150,280,25,525,10,605,10,115,10,710,760,725,15,20,250,155,25,140,95,60,,,110,85,270,,,,,,,,125,205,225,90,,,,725,140,135,100,175,75,95
