"CMUN" "ETIQUETA" "MUNICIPIO" "DIRECCIÓN" "lon" "lat"
"005" "Leroy Merlin" "Alcalá de Henares" "Ctra Nacional II, km. 34 - Calle Tamajón s/n (Centro Comercial La Dehesa)" -3.32718825017718 40.5029221485493
"007" "Leroy Merlin" "Alcorcón" "Avenida de Europa, 26 (Centro Comercial Parque Oeste - Ctra. Nacional V, km. 14)" -3.84948068298805 40.3433005385239
"127" "Leroy Merlin" "Rozas de Madrid, Las" "Carretera Coruña, km. 22 (Parque Empresarial Madrid-Las Rozas)" -3.88701285125519 40.5196198147148
"080" "Leroy Merlin" "Majadahona" "Ctra M-516 (Boadilla a Majadahonda Km. 7,300), 133 (Centro Comercial Equinoccio)" -3.87316264583186 40.458340617067
"074" "Leroy Merlin" "Leganés" "Avenida Gran Bretaña, s/n (Ctra. de Villaverde, s/n-Centro Comercial Parquesur)" -3.72782631431429 40.3417725580229
"123" "Leroy Merlin" "Rivas-Vaciamadrid" "Calle Juan de la Cierva, 2 (Centro Comercial Rivas Futura)" -3.5295362829599 40.3387663159525
"134" "Leroy Merlin" "San Sebastián de los Reyes" "Plaza del Comercio, 2 (Autovía A-1 Salidas 17 y 19-Centro Comercial Megapark)" -3.61293203984603 40.5461756193732
"065" "Leroy Merlin" "Getafe" "Calle Rio Guadalquivir, s/n (Centro de Ocio Nassica)" -3.69829158744021 40.271676513363
"007" "Ikea" "Alcorcón" "Avenida de Europa, 22 (Centro Comercial Parque Oeste)" -3.85172208035276 40.3449510166726
"134" "Ikea" "San Sebastián de los Reyes" "Plaza del Comercio, 2 (Autovía A-1 Salidas 17 y 19 - Centro Comercial Megapark)" -3.61065287598443 40.5466352402049
"006" "Aki" "Alcobendas" "Ctra. Fuencarral, 7 (Centro Comercial Rio Norte)" -3.64518503129342 40.531619128311
"045" "Aki" "Colmenar Viejo" "Av. de la Libertad, s/n. Salidas 29 y 31, M-607 (C.Comercial El Ventanal de la Sierra)" -3.75466173593965 40.6603136536348
