"bathrooms","exterior","price","rooms","size","longitude","latitude"
1,TRUE,56050,3,60,-3.6141642,40.4084787
2,TRUE,160000,3,107,-3.6416963,40.3868788
2,TRUE,645000,3,154,-3.6744242,40.4239692
1,TRUE,150000,1,55,-3.668896,40.4016455
2,TRUE,129700,3,100,-3.6408121,40.3890926
1,FALSE,397700,2,115,-3.6778919,40.4010034
2,TRUE,260000,3,111,-3.7472731,40.3797179
3,TRUE,640000,4,196,-3.608934,40.451339
1,FALSE,254160,1,53,-3.6617133,40.4445528
5,FALSE,990000,4,400,-3.6639936,40.4290998
4,TRUE,1050000,4,211,-3.6755647,40.426044
2,TRUE,360000,3,114,-3.690701,40.5014388
3,TRUE,590000,4,160,-3.7130966,40.4983638
4,FALSE,1950000,4,390,-3.6824394,40.4476329
4,TRUE,1400000,5,352,-3.6780369,40.4292997
1,TRUE,87000,2,75,-3.7351994,40.4088388
1,TRUE,125000,1,45,-3.5842143,40.4430646
2,TRUE,2e+05,3,110,-3.7100477,40.3454826
5,TRUE,1650000,7,446,-3.7088356,40.4448084
1,TRUE,99000,1,25,-3.7024234,40.4098506
1,FALSE,110000,3,50,-3.6867849,40.4011045
1,TRUE,62000,2,63,-3.6691964,40.3872424
3,TRUE,520000,4,152,-3.7265506,40.4688572
2,TRUE,295000,3,115,-3.6302479,40.3830314
2,FALSE,785000,3,120,-3.6725162,40.4523454
1,TRUE,69000,0,60,-3.6534706,40.3904535
2,TRUE,240000,3,99,-3.6236534,40.3970615
2,TRUE,180000,3,100,-3.6745326,40.3837709
1,TRUE,125000,3,84,-3.6108662,40.4431172
2,TRUE,159000,3,108,-3.6792331,40.3506993
1,FALSE,117000,2,46,-3.6731572,40.4344541
1,TRUE,270000,1,65,-3.6922588,40.4160829
2,TRUE,630000,4,157,-3.6836035,40.422044
4,TRUE,625000,6,303,-3.6920743,40.4629279
2,TRUE,215000,2,62,-3.5763729,40.4480179
2,FALSE,231000,4,94,-3.7028057,40.4194318
1,FALSE,109400,3,60,-3.6990354,40.4506203
4,TRUE,670000,4,158,-3.7824921,40.4715952
3,TRUE,265000,5,132,-3.6735355,40.3904306
1,TRUE,115000,0,63,-3.7166755,40.3877726
1,FALSE,170000,1,57,-3.6707644,40.4316636
2,TRUE,550000,3,111,-3.7130695,40.4011153
1,TRUE,240450,2,75,-3.729756,40.3918035
1,TRUE,170000,3,85,-3.7006672,40.4451526
1,TRUE,99000,1,50,-3.6001677,40.4488563
2,TRUE,6e+05,3,190,-3.7124332,40.4996769
1,FALSE,150000,2,40,-3.7102034,40.4368446
1,TRUE,89000,2,46,-3.7093831,40.4589291
1,TRUE,290000,1,68,-3.6733205,40.4159833
4,TRUE,980000,4,170,-3.6543426,40.5115947
2,TRUE,2e+05,2,60,-3.6347055,40.4656629
2,FALSE,355000,3,144,-3.6696479,40.4249432
2,TRUE,1250000,3,264,-3.685329,40.4342259
2,TRUE,270000,4,141,-3.6336601,40.379875
1,TRUE,106000,3,73,-3.5788096,40.4758966
4,TRUE,2e+06,4,262,-3.6864355,40.4232864
1,FALSE,89000,0,30,-3.7045034,40.4288459
1,FALSE,125000,2,45,-3.7114245,40.4043333
1,TRUE,125000,3,65,-3.6456585,40.4720283
1,TRUE,90000,3,85,-3.7818664,40.3833632
2,FALSE,228700,3,100,-3.70395,40.3986499
1,FALSE,116200,3,69,-3.7255398,40.3903645
1,FALSE,157400,3,95,-3.6997589,40.4690269
1,FALSE,132200,3,81,-3.6498674,40.4754968
2,TRUE,62000,3,110,-3.6110956,40.3809791
1,TRUE,77000,3,70,-3.6738518,40.3830029
4,FALSE,9e+05,5,440,-3.8305772,40.4744844
1,FALSE,205000,1,45,-3.6757743,40.4158037
1,FALSE,130000,2,60,-3.7011373,40.4074948
1,FALSE,175000,1,72,-3.6683644,40.4345636
1,TRUE,74714,3,67,-3.7481111,40.3926521
4,TRUE,1800000,4,270,-3.6898232,40.4485756
3,FALSE,1036300,5,225,-3.6918969,40.4393731
5,FALSE,1400000,6,440,-3.64545,40.45311
1,TRUE,140000,1,50,-3.7291357,40.4109979
3,TRUE,9e+05,3,150,-3.7091692,40.4302961
4,TRUE,990000,6,218,-3.6719462,40.4613929
2,TRUE,195000,3,87,-3.6857961,40.3539141
2,TRUE,110000,4,110,-3.7350179,40.4293413
1,FALSE,1e+05,2,50,-3.7005436,40.4241118
2,TRUE,5e+05,5,153,-3.7246655,40.4138522
1,TRUE,51000,3,68,-3.6686583,40.3968584
1,TRUE,155000,2,90,-3.6996184,40.3319622
1,TRUE,195000,1,50,-3.7110304,40.4370962
1,TRUE,135000,2,60,-3.6504175,40.4374149
2,TRUE,5e+05,4,171,-3.6639304,40.4334228
2,TRUE,290000,4,107,-3.6130154,40.4175035
3,FALSE,895000,5,204,-3.6604138,40.46888
3,FALSE,705000,4,360,-3.599441,40.4269227
2,TRUE,255000,3,100,-3.5980699,40.4033535
1,TRUE,90000,2,50,-3.7406731,40.3811755
5,TRUE,2400000,5,336,-3.6856714,40.4260244
1,TRUE,230000,4,90,-3.6937429,40.4022611
2,TRUE,180000,2,90,-3.6596479,40.4335809
