param n:= 5;
param m:= 6;
param v:= 
1  1.9359949
2  1.52592623
3  2.04966248
4  1.93532239
5  1.9203678
;
param c:= 
1 1 1.330334821
1 2 1.20464863404
1 3 1.61927096635
1 4 1.29965467367
1 5 1.2668272751
1 6 1.62113383277
2 1 1.52914209428
2 2 1.13457994534
2 3 1.51357812127
2 4 1.18443986565
2 5 1.78533514782
2 6 1.85397529264
3 1 1.49423683738
3 2 1.84656148536
3 3 1.07964547701
3 4 1.50524609012
3 5 1.06528650439
3 6 1.4281223276
4 1 1.09653091566
4 2 1.1271599717
4 3 1.59674530898
4 4 1.2260120006
4 5 1.10694568431
4 6 1.22030620707
5 1 1.349826285
5 2 1.46778748458
5 3 1.20174322626
5 4 1.64040672521
5 5 1.48306983555
5 6 1.50523672002
;
param d:= 
1 292
2 297
3 284
4 316
5 321
6 301
;
param M:= 
1 846
2 483
3 496
4 443
5 688
;
param p:= 
1  4.34161365
2  4.56714413
3  4.42754596
4  4.43674726
5  4.77655918
6  4.53560417
;
param f:= 
1 1 320
1 2 336
1 3 320
1 4 269
1 5 306
1 6 332
2 1 251
2 2 318
2 3 290
2 4 331
2 5 311
2 6 320
3 1 347
3 2 268
3 3 334
3 4 340
3 5 337
3 6 272
4 1 293
4 2 302
4 3 324
4 4 322
4 5 340
4 6 349
5 1 341
5 2 346
5 3 266
5 4 305
5 5 271
5 6 293
;
