Date,Open,High,Low,Close,Volume
13-Nov-15,115.20,115.57,112.27,112.34,45812403
12-Nov-15,116.26,116.82,115.65,115.72,32525579
11-Nov-15,116.37,117.42,115.21,116.11,45217971
10-Nov-15,116.90,118.07,116.06,116.77,59127931
9-Nov-15,120.96,121.81,120.05,120.57,33871405
6-Nov-15,121.08,121.81,120.62,121.06,33042283
5-Nov-15,121.85,122.69,120.18,120.92,39552680
4-Nov-15,122.56,123.82,121.62,122.00,44886050
3-Nov-15,120.79,123.49,120.70,122.57,45518976
2-Nov-15,120.80,121.36,119.61,121.18,32203267
30-Oct-15,120.99,121.22,119.45,119.50,49365254
29-Oct-15,118.70,120.69,118.27,120.53,51227334
28-Oct-15,117.58,119.30,116.06,119.27,85551352
27-Oct-15,115.40,116.54,113.99,114.55,69884400
26-Oct-15,118.08,118.13,114.92,115.28,66333781
23-Oct-15,118.77,119.23,116.33,119.08,59366914
22-Oct-15,114.33,115.50,114.10,115.50,41654089
21-Oct-15,114.00,115.58,113.70,113.76,42326974
20-Oct-15,111.34,114.17,110.82,113.77,48967763
19-Oct-15,110.80,111.75,110.11,111.73,29759153
16-Oct-15,111.78,112.00,110.53,111.04,39232609
15-Oct-15,110.93,112.10,110.49,111.86,37673452
14-Oct-15,111.29,111.52,109.56,110.21,44462449
13-Oct-15,110.82,112.45,110.68,111.79,33049256
12-Oct-15,112.73,112.75,111.44,111.60,30467204
9-Oct-15,111.64,112.28,109.49,112.12,52766140
8-Oct-15,110.06,110.19,108.21,109.50,61979577
7-Oct-15,110.47,111.77,109.41,110.78,46765550
6-Oct-15,110.63,111.74,109.76,111.31,48856977
5-Oct-15,110.08,111.37,109.07,110.78,52064743
2-Oct-15,108.01,111.01,107.55,110.38,58019758
1-Oct-15,109.07,109.62,107.31,109.58,63929100
30-Sep-15,110.17,111.54,108.73,110.30,66473033
29-Sep-15,112.83,113.51,107.86,109.06,73365384
28-Sep-15,113.85,114.57,112.44,112.44,52109011
25-Sep-15,116.44,116.69,114.02,114.71,56151926
24-Sep-15,113.25,115.50,112.37,115.00,50219475
