Date,Open,High,Low,Close,Volume
13-Nov-15,663.57,667.00,640.45,642.35,6261076
12-Nov-15,673.00,675.64,664.22,665.60,4284678
11-Nov-15,663.25,675.96,663.25,673.25,5387309
10-Nov-15,653.00,660.00,647.26,659.68,3489483
9-Nov-15,658.65,661.96,647.85,655.49,4048823
6-Nov-15,655.00,662.26,652.00,659.37,4092165
5-Nov-15,647.10,657.00,643.09,655.65,4723825
4-Nov-15,627.76,645.93,627.35,640.95,4840501
3-Nov-15,629.53,629.89,622.00,625.31,3246910
2-Nov-15,627.13,628.63,620.41,628.35,2816479
30-Oct-15,626.01,630.72,625.28,625.90,3874363
29-Oct-15,617.70,627.54,615.39,626.55,3896026
28-Oct-15,612.30,617.23,609.50,617.10,3926200
27-Oct-15,608.60,614.71,605.53,611.01,3787136
26-Oct-15,602.30,609.85,596.29,608.61,4269715
23-Oct-15,617.68,619.45,595.36,599.03,10692667
22-Oct-15,562.70,569.15,556.67,563.91,7779372
21-Oct-15,563.87,565.25,552.52,555.77,3361655
20-Oct-15,572.00,573.00,555.28,560.88,4346209
19-Oct-15,570.76,579.00,567.38,573.15,4375420
16-Oct-15,565.27,570.94,560.31,570.76,4315792
15-Oct-15,547.75,563.00,547.00,562.44,4937034
14-Oct-15,551.34,552.25,539.68,544.83,3582060
13-Oct-15,546.26,553.20,543.10,548.90,2938044
12-Oct-15,539.96,550.82,539.80,550.19,2776103
9-Oct-15,534.48,541.79,530.27,539.80,3537364
8-Oct-15,536.71,539.39,519.89,533.16,4676440
7-Oct-15,541.79,542.00,529.00,541.94,3812087
6-Oct-15,545.50,551.50,533.33,537.48,4547519
5-Oct-15,536.99,545.91,536.00,543.68,3391359
2-Oct-15,512.99,532.60,508.10,532.54,4597795
1-Oct-15,511.00,520.80,506.00,520.72,3768483
30-Sep-15,505.44,512.80,501.67,511.89,4004681
29-Sep-15,506.00,511.48,490.50,496.07,4457532
28-Sep-15,520.02,520.28,494.33,504.06,5434532
25-Sep-15,542.57,542.80,521.40,524.25,4030998
24-Sep-15,530.55,534.56,522.87,533.75,3500964
23-Sep-15,538.30,541.21,534.00,536.07,2237571
22-Sep-15,539.71,543.55,532.66,538.40,3841748
21-Sep-15,544.33,549.78,539.59,548.39,3283313
18-Sep-15,534.62,546.24,531.35,540.26,6160075
17-Sep-15,526.98,546.97,526.57,538.87,4169484
16-Sep-15,521.98,528.30,518.52,527.39,2252790
15-Sep-15,523.25,527.92,517.20,522.37,2865933
14-Sep-15,529.44,532.45,518.58,521.38,3130241
11-Sep-15,521.07,529.44,520.60,529.44,3227862
10-Sep-15,515.15,526.13,514.78,522.24,2562832
9-Sep-15,524.00,529.95,515.06,516.89,4370657
8-Sep-15,508.69,518.35,508.51,517.54,3810653
4-Sep-15,497.65,502.85,495.64,499.00,2692510
3-Sep-15,514.50,515.84,502.57,504.72,3149694
2-Sep-15,505.09,510.86,497.72,510.55,3707116
1-Sep-15,499.14,510.00,493.43,496.54,3864514
31-Aug-15,516.44,519.41,509.07,512.89,3002293
28-Aug-15,517.50,521.50,513.04,518.01,2746708
27-Aug-15,513.71,522.69,507.26,518.37,6114506
26-Aug-15,484.02,503.72,478.76,500.77,6358639
25-Aug-15,487.49,489.44,466.25,466.37,5679329
24-Aug-15,463.58,489.76,451.00,463.37,10097601
21-Aug-15,507.36,512.33,494.47,494.47,6706466
20-Aug-15,530.39,533.25,515.77,515.78,4407990
19-Aug-15,533.74,537.25,529.00,532.92,2324040
18-Aug-15,535.04,539.49,533.00,535.02,2071342
17-Aug-15,531.29,538.74,527.12,535.22,2581680
14-Aug-15,528.25,534.11,528.25,531.52,1994799
13-Aug-15,527.37,534.66,525.48,529.66,2895238
12-Aug-15,523.75,527.50,513.06,525.91,4014684
11-Aug-15,523.65,528.98,522.00,527.46,2676600
10-Aug-15,528.52,532.28,523.00,524.00,2615926
7-Aug-15,529.16,529.46,518.21,522.62,3969215
6-Aug-15,539.30,542.74,527.52,529.46,3820453
5-Aug-15,538.80,539.14,534.12,537.01,2889350
4-Aug-15,529.69,536.95,529.16,531.90,2934590
3-Aug-15,537.45,540.44,529.36,535.03,3014236
31-Jul-15,539.09,542.84,534.52,536.15,3025598
30-Jul-15,527.65,539.20,524.29,536.76,3743065
29-Jul-15,530.92,532.97,525.02,529.00,3752634
28-Jul-15,536.00,536.39,523.12,526.03,5273092
27-Jul-15,527.75,544.95,526.60,531.41,7490960
24-Jul-15,578.99,580.57,529.35,529.42,21909381
23-Jul-15,491.66,491.66,475.70,482.18,9374431
22-Jul-15,485.99,492.50,484.90,488.27,3114898
21-Jul-15,487.90,488.88,482.55,488.00,3181831
20-Jul-15,492.57,493.20,485.40,488.10,4752491
17-Jul-15,477.70,485.42,477.25,483.01,4932176
16-Jul-15,465.50,475.88,464.80,475.48,4095581
15-Jul-15,463.04,464.70,460.20,461.19,2987399
14-Jul-15,462.32,469.60,458.16,465.57,4736215
13-Jul-15,448.29,457.87,447.54,455.57,3956802
10-Jul-15,440.49,444.72,439.00,443.51,2400981
9-Jul-15,434.90,438.72,434.15,434.39,2271395
8-Jul-15,434.35,435.99,428.83,429.70,2383130
7-Jul-15,435.68,437.73,425.57,436.72,3454248
6-Jul-15,435.23,439.73,433.52,436.04,1903161
2-Jul-15,437.00,438.20,433.48,437.71,1343397
1-Jul-15,439.35,440.00,435.58,437.39,1987076
30-Jun-15,434.20,435.57,430.46,434.09,2596873
29-Jun-15,434.98,437.00,429.00,429.86,2753193
26-Jun-15,441.76,443.49,435.06,438.10,2624479
25-Jun-15,438.07,443.47,436.39,440.10,2237458
24-Jun-15,444.97,446.47,440.23,440.84,2620827
23-Jun-15,435.59,447.04,433.69,445.99,3245049
22-Jun-15,437.00,439.24,434.18,436.29,1823572
19-Jun-15,440.26,444.99,433.24,434.92,4495087
