Date,Open,High,Low,Close,Volume
13-Nov-15,28.55,29.04,28.14,28.19,14700840
12-Nov-15,28.67,28.92,28.53,28.56,11702685
11-Nov-15,29.10,29.33,28.88,28.95,22126874
10-Nov-15,29.18,29.30,28.84,29.14,13603133
9-Nov-15,29.38,29.38,28.82,29.18,11251998
6-Nov-15,29.03,29.69,28.97,29.40,12308438
5-Nov-15,28.92,29.58,28.92,29.30,12500420
4-Nov-15,28.90,29.38,28.88,29.30,13532753
3-Nov-15,28.41,29.29,28.37,28.90,16644134
2-Nov-15,27.73,28.52,27.72,28.50,11305864
30-Oct-15,28.24,28.30,27.81,27.90,9792570
29-Oct-15,28.21,28.32,28.02,28.18,9022522
28-Oct-15,28.47,28.47,27.96,28.25,11374140
27-Oct-15,28.21,28.44,28.06,28.37,10970521
26-Oct-15,27.74,28.23,27.69,28.17,13164791
23-Oct-15,27.73,28.57,27.32,28.16,21803571
22-Oct-15,26.50,27.66,26.26,27.58,44605862
21-Oct-15,24.42,24.70,24.18,24.21,17814030
20-Oct-15,24.56,24.68,24.25,24.42,12340050
19-Oct-15,24.54,24.57,24.26,24.56,11451944
16-Oct-15,24.46,24.72,24.40,24.55,9143192
15-Oct-15,24.15,24.54,23.96,24.51,16102126
14-Oct-15,24.79,24.80,23.93,24.00,14584429
13-Oct-15,24.53,24.90,24.41,24.62,11539408
12-Oct-15,24.04,24.62,23.98,24.56,9882337
9-Oct-15,24.21,24.42,24.05,24.30,17628918
8-Oct-15,24.94,25.08,23.62,24.15,48539520
7-Oct-15,25.91,25.93,25.49,25.68,11440476
6-Oct-15,25.68,25.84,25.58,25.68,9041570
5-Oct-15,25.59,25.88,25.51,25.74,11762140
2-Oct-15,24.51,25.55,24.31,25.53,13228024
1-Oct-15,24.50,25.01,24.44,24.91,16269125
30-Sep-15,24.32,24.50,24.03,24.44,12862211
29-Sep-15,24.20,24.38,23.76,24.08,19652244
28-Sep-15,25.15,25.22,24.10,24.14,15787789
25-Sep-15,25.76,25.81,25.18,25.33,8717904
24-Sep-15,25.28,25.68,25.08,25.61,9734027
23-Sep-15,25.62,25.76,25.46,25.59,6766312
22-Sep-15,25.70,25.80,25.40,25.61,10875336
21-Sep-15,26.26,26.50,25.68,25.92,9344103
18-Sep-15,25.97,26.20,25.33,26.02,23469850
17-Sep-15,26.70,26.76,26.20,26.27,14936531
16-Sep-15,26.00,26.75,25.91,26.74,13030701
15-Sep-15,25.80,26.07,25.41,25.98,12316822
14-Sep-15,26.22,26.22,25.66,25.75,9207844
11-Sep-15,26.12,26.33,25.91,26.32,6241164
10-Sep-15,25.77,26.24,25.77,26.15,12900047
9-Sep-15,26.91,26.91,26.15,26.20,10328409
8-Sep-15,26.69,26.75,26.21,26.36,14685929
4-Sep-15,26.57,26.75,26.29,26.48,9066895
3-Sep-15,27.36,27.60,26.93,27.04,12281618
2-Sep-15,26.86,26.92,26.41,26.87,10907649
1-Sep-15,26.54,27.09,26.30,26.48,15491939
31-Aug-15,27.08,27.26,27.00,27.11,11635758
28-Aug-15,26.98,27.27,26.81,27.25,11313447
27-Aug-15,26.51,27.19,26.44,27.10,18148477
26-Aug-15,25.91,26.19,25.19,26.17,16808996
25-Aug-15,25.37,25.85,25.23,25.23,22650351
24-Aug-15,23.87,25.75,23.23,24.93,23085797
21-Aug-15,26.33,26.64,25.72,25.77,19527744
20-Aug-15,27.21,27.30,26.49,26.52,15819519
19-Aug-15,27.46,27.72,27.30,27.43,11332923
18-Aug-15,28.43,28.46,27.66,27.77,10865002
17-Aug-15,28.12,28.32,27.78,28.29,9457946
14-Aug-15,27.94,28.29,27.80,28.26,7262779
13-Aug-15,27.98,28.15,27.73,27.99,7423038
12-Aug-15,27.52,28.04,27.31,28.01,11164987
11-Aug-15,28.30,28.62,28.07,28.14,9935700
10-Aug-15,28.61,28.94,28.60,28.66,7176839
