sentiment	text
0	I simply cant understand why all these relics from the Ceausescu era refuse to let go. One can see clearly how frustrated they were during the commie censorship that forbade them so many things to show in their movies, and now they imagine its dunno what big deal of artsy-fartsy freedom so fill the screen with people defecating, urinating, vomiting, swearing, and any other kinds of hideousness imaginable. THIS IS NOT CINEMA, FRIENDS AND NEIGHBORS! This is simply visual perversion. Forget about Bunuels Chien Andalou, about David Lynch, about Forman and neorealism and other movie makers who were able to work with an aesthetics of ugliness. THOSE people were mastering their jobs - well, you Don't! Do us a favor, all you Daneliucs and Nicolaescus and Saizescus and Muresans and Marinescus and Margineanus and other obsolete old-timers, and leave us alone! Its bit time to see some Romanian MOVIES on screen, enough with your immature terribilisms! You are not directors, you are ILLITERATE!!!
1	"Director Raoul Walsh was like the Michael Bay of the '40's and years before that. And I mean that in a positive way, since I'm definitely ain't no Bay-hater. His movies are just simple high quality entertainment, just like the Raoul Walsh movies were in his days.<br /><br />""Gentleman Jim"" is fine quality entertainment. Besides a first class director, it also features a first grade cast, with Raoul Walsh's regular leading man Errol Flynn in the main part.<br /><br />What surprised me was how well the boxing matches were brought to the screen. They used some very dynamic camera-work, which also really made the boxing matches uplifting and exciting to watch, with the end championship fight against John L. Sullivan as the ultimate highlight. <br /><br />Biopics of the '40's and earlier on were obviously still very much different from biographies being made this present day. Modern biographies often glorify its main subject and show his/her life from basically birth till death and everything, mostly emotional aspects, in between. 'Old' biopics were just made the same as movies that weren't based on actual real life persons, which also means that the film-makers would often use a use amount of creative liberty with the main character's personality and events that happened in his/her life. This movie is also not just a biography about a boxing legend but also forms a nice portrayal from the period when illegal bare knuckle fighting entered the modern era of boxing.<br /><br />Errol Flynn does a great job portraying the real life famous boxer James J. Corbett aka Gentleman Jim. Not too many people known it but Flynn did some real good acting jobs in the '40's, of which this movie is one. Fysicaly he also looks in top-shape. He also looks quite different by the way without his trademark small mustache in this movie. The movie also features some fine supporting actors and some fine acting throughout.<br /><br />A great and entertaining movie that also still truly holds up real well today.<br /><br />8/10"
1	"It could have been a better film. It does drag at points, and the central story shifts from Boyer completing his mission to Boyer avenging Wanda Hendrix's death, but Graham Greene is an author who is really hard to spoil. His stories are all morality tales, due to his own considerations of Catholicism, guilt and innocence (very relative terms in his world view), and the human condition.<br /><br />Boyer is Luis Denard, a well-known concert pianist, who has sided with the Republicans in the Spanish Civil War. He has been sent to England to try to carry through an arms purchase deal that is desperately needed. Unfortunately for Denard he is literally on his own - everyone of his contacts turns out to be a willing turncoat for the Falagists of Spain. In particular Katina Paxinou (Mrs. Melendez) a grim boarding house keeper, and Peter Lorre (Mr. Contreras) a teacher of an ""esperanto"" type international language. Wanda Hendrix is the drudge of a girl (Else) who works for Mrs. Melendez. The local diplomat, Licata (Victor Francken) is already a willing associate of the Falangists.<br /><br />The Brits (Holmes Herbert, Miles Mander, and best - if not worst - of the lot, George Coulouris) don't give much hope to Boyer's cause (which he soon grasps may be Britain's before long). Herbert and Mander just retreat behind the official policy of neutrality ordered by the Ramsay MacDonald's and Stanley Baldwin's governments during the Civil War. Coulouris here is a typical Col. Blimp type - always impeccable in his native English diction, he is sharp in showing his dislike for foreigners in general.<br /><br />The one ray of hope is Lauren Bacall (Rose Cullen), here trying to play her role as well as she can - but she can't really. She's an aristocrat - the daughter of a Press lord. It was Bacall's second film, and (sad to say) almost sank her long career. She does act well, but the spark she showed in her first film was due to the dual effect of starring with Humphrey Bogart and being directed by Howard Hawks. Boyer is a fine actor, but he's not Bogie, and Herman Shumlin is not Hawks. Her next film returned her to Bogie and Hawks again, and her star resumed it's ascendancy.<br /><br />It's a bleak film (as was the novel). Boyer's mission never succeeds, as he has too many hidden foes all over the place. But the villains are likewise also losers - frequently with their lives.<br /><br />With Dan Seymour as a suspicious foreign tenant of Katina Paxinou (and the man who destroys her). It is well worth watching to catch the Warner's lot of character actors doing their best given the weakness in direction."
1	"It is very hard to rate this film. As entertainment value for 21st century viewers, it fails miserably. However, for the student of early sound films and history, it is a jewel. ""Show of Shows"" was a revue filmed to compete with MGM's successful ""Hollywood Revue of 1929"", which still survives intact complete with its Technicolor scenes.<br /><br />The purpose of the all-star revue was to showcase a particular studio's silent stars in speaking roles, and show that they could make the transition. However, Warner Bros. seems to have forgotten this and employs many acts and stars that they didn't even have under long-term contract such as Ben Turpin, Lloyd Hamilton, Beatrice Lillie, and even a marching band. Meanwhile, their biggest talent - Al Jolson - is noticeably absent. Even at a high salary he could not be compelled to join in. Almost every act is overly long and the film plays like a dozen or so Vitaphone shorts strung together with no continuity. The finale is also overly long, but it is really enjoyable with all of its dance numbers.<br /><br />The highlights of the film are two numbers from Winnie Lightner - ""Pingo Pongo"" and ""Singin in the Bathtub"", a couple of numbers with Nick Lucas, John Barrymore performing Shakespeare, and the Chinese Fantasy ""Li Po Li"" with Nick Lucas and Myrna Loy. This last number is the only part of the film that survives in Technicolor, and it really is quite attractive. Reasonably enough, the players in these good acts were long-term Warner Bros. stars so perhaps the director knew how to play to their strengths since he was familiar with them.<br /><br />This film acts as a snapshot at an odd point in film history - the year 1929, which was the bridge year between two eras - the silent and sound eras, and the roaring 20's and the Great Depression. Just two years later this same film would have had an entirely different cast, as Warner Bros. would abandon its silent era stars and the stars they hired just to produce the early musicals in favor of those stars that gave Warner Bros. its distinctive urban look and feel - James Cagney, Joan Blondell, Edward G. Robinson, and others."
1	"I've read some terrible things about this film, so I was prepared for the worst. ""Confusing. Muddled. Horribly structured."" While there may be merit to some of these accusations, this film was nowhere near as horrific as your average DVD programmer. In fact, it actually had aspirations. It attempted something beyond the typical monster/slasher nonsense. And by god, there are some interesting things going on.<br /><br />Ms. Barbeau is a miracle to behold. She carries the film squarely on her shoulders.<br /><br />This is not to say that it's a masterpiece. UNHOLY ultimately collapses under the weight of its own ambition. There are just too many (unexplained) subplots trying to coexist. And the plot loopholes created by time travel are never really addressed: for example, if Hope knows that her mother is evil and that she will ultimately kill her brother, then why doesn't she just kill Ma in the film's very first sequence? Seems like it would have beat the hell out of traveling into the future to do it.<br /><br />Still, I give UNHOLY points for trying. A little ambition is not a bad thing."
0	haha! you have to just smile and smile if you actually made it all the way through this movie. it like says something about myself i guess. the movie itself was created i think as some sort of psychological test, or like some sort of drug, to take you to a place you have never been before. When Wittgenstein wrote his famous first philosophical piece the tractacus (sp?) he said it was meaningless and useless, but if you read it, after you were done, it would take you to a new level, like a ladder, and then you could throw away the work and see things with clarity and true understanding. this movie is the same i think.<br /><br />As a movie it is without a doubt, the worst movie i have seen in a long long time in such a unique way. first of all, this is snipes. i loved watching this guy kick ass in various movies. and i have suffered through a few weak ones. however, although you know the movie might suck, you would never suspect that it could be as bad as it actually was. which is the fun of it. i mean this is snipes. you know it might be good, but it will be alright, right? smile.<br /><br />so this thing on every level is pure boredom, pure unoriginality. the reference to the professional is both dead on and obvious, yet so poorly done as to be comical. there is not one character in this movie that is interesting, in the least. and to make the whole thing more surreal, they have a soundtrack that sort of sounds like parts to various Bourne identity type movies, only isn't quite right. in fact, although it seems close to action movie background music, it just so happens it is done in a manner that will grate on you fantastically.<br /><br />then all the scenes in the total pitch black, where honestly since the characters are so flat, you don't really care whats going to happen, but regardless, after it happens and someone is killed, you just say to yourself, was i supposed to see that? what else? how about scenes with blinding, obnoxious flashing at a strobe lights pace, for a period of time that is too long to bear. sure let's throw that in. how bout this though. when you are straining and your eyes cant handle it any longer, do some more of these in the dark kills where you really don't see what happened. and on top of that, lets face it you don't care. you were past bored way from the beginning.<br /><br />so i drifted in and out a couple times, but i caught almost all of this movie. and it becomes something you can watch, without something that engages your mind on any level, therefore, it becomes something you can effectively zone out with, and begin to think about your life, where its going, where its been, what we are as people.<br /><br />and that... that is the true magic of this film.
0	"Previous comments encouraged me to check this out when it showed up on TCM, but it was a severe disappointment. Lupe Valdez is great, but doesn't get enough screen time. Frank Morgan and Eugene Palette play familiar but promising characters, but the script leaves them stranded.<br /><br />The movie revolves around the ego of Lee Tracy's character, who is at best a self-centered, physically and verbally abusive jerk. The reactions of ""the public"" are poorly thought-out and unbelievable, making the ""shenanigans"" seem like contrivances of a bad writer. And it strains credulity that the Lupe Velez character could fall for him.<br /><br />The ""stinging one-liners"" mentioned in another review must be dependent on the observer, since I didn't even notice that an attempt was being made."
1	"Peter M. Cohen has a winner satire on the mating game, twisted around and turned inside out. The critical bashing of the movie in mainstream media publications as ""offensive"" and ""raunchy"" only serves to underscore its intensity as a refreshing and concentrated dissection of people's sexual pursuits and passions. It is in the tradition of what I call ""reality based"" satire following in the footsteps of ""In The Company of Men,"" ""Chasing Amy"", ""Your Friends and Neighbors"" and ""Two Girls and a Guy"". Cohen's dialogue is hilarious and I was continually intrigued by how perfectly he captured the real pace of today's conversations. Brian Van Holt, Zorie Barber, and Jonathan Abrahams are three distinct, unrelenting sex-obsessed predators who along with the foil of their recently married buddy (superbly played by Judah Domke) are turned upside down on their own terms by a female predator (Amanda Peet). Underneath the satiric surface lurks a romantic comedy far more satisfying than most sugar-coated studio products."
0	Herbie, the Volkswagen that thinks like a man, is back, now being driven by Maggie Peyton (Lindsay Lohan), a young woman who hopes to become a NASCAR champion. The only thing standing in her way is the current champion, Trip Murphy (Matt Dillon), who will do anything to stop them.<br /><br />The original love bug wasn't that good. Even as a kid, I remember not liking it very much. I had some hope for the sequel though. I mean the cast is pretty good and the trailer makes it seem like a pretty fun movie. Unfortunately, Herbie is no better now than he was before. The film is defiantly weak for people over the age of 12. It will probably entertain the kids but that's all.<br /><br />I realize it's a kids film and all but they could have made the film a little more interesting. There were very few laughs and it got boring near the end. Most of the actors seemed dead in their roles too. Lindsay Lohan was alright as Maggie Peyton. She usually gives better performances like in Freaky Friday and Mean Girls. Matt Dillon gave the best performance out of everyone. He was very good as the bad guy even though he didn't have a lot to work with. Justin Long, Breckin Meyer and Michael Keaton are really just there and they don't do anything special.<br /><br />Angela Robinson directs and she does an okay job. She tries to keep the film interesting but she's working with a weak script. Thomas Lennon and Ben Garant wrote the screenplay and would it be any surprise to you that they were also responsible for Taxi and The Pacifier? These two make light films yet they fail to really make the stories interesting or enjoyable. It's not completely their fault but hopefully next time they will try harder. In the end, Herbie is a safe, predictable family film that's worth watching if you're a kid. Everyone else is better off skipping it. Rating 4/10
1	While I would say I enjoy the show, I expected something completely different from when I first saw 'What I like about you' I expected to find something along the lines of 'All That' (I am not sure if it is going on anymore) but I have to say I do like the show and while i don't classify it as a breakthrough show, it is very charming and I do like the chemistry between the characters as well (including the supporting cast)<br /><br />I would definitely say that it is great to see Wesley Jonathan back on the screen because I really loved him in City Guy. I had also seen the woman who plays Valerie's friend in Popular and while I think that was an okay show, I do not really like her character in this show because she's just not my cup of tea but she rounds it out pretty well
0	"This movie is nothing like ""Office Space"" except in the premise. Office Space was hilarious. I would not recommend this movie to anyone, as I laughed not once during the entire film. Mr. Cornbluth's self-indulgent tirades quickly become more annoying than 15 Jason Alexanders in the same room. If you decide to see this movie, use a free rental or watch it at someone else's house so you can leave if necessary."
1	Orson Welles manages to knock me on my ass with every picture of his I see. Lady of Shanghai is on the same level as his other masterpieces, The Magnificent Ambersons, Touch of Evil, The Trial, and Chimes at Midnight. The plot can tend to be confusing sometimes, and sometimes it seems to be moving maybe a tiny bit too fast (about an hour of it was edited out when test screenings went poorly). It doesn't matter, however. You can't watch Welles' films and manage to concentrate too much on the plot. His direction defines what great direction is. Almost any scene from this film can hold up with any other scene he directed. Check out the courtroom scene. Usually they are such stock scenes that I can't stand them. Case in point, try to sit through Welles' own speech near the end of Compulsion. In Lady from Shanghai, just pay attention to the level of detail in that courtroom scene. Watch that juror who is always sneezing and interrupting the proceedings. Or just take a look at the lighting in that scene. I know, it is just a simple Venetian blind, and that it was used constantly in film noirs and crime films of the era, but Welles gives it a beauty all its own. The dialogue is also remarkable. Welles had the skill, a skill that no one else seemed to have, to make a crime film containing examples of the grandest poetry. Whether he was speaking Shakespeare or spitting out hard-boiled lines, it had the power to stir the soul. 10/10.
