ID;loan_amnt;term;int_rate;installment;emp_length;home_ownership;annual_inc;purpose;title;STATE;delinq_2yrs;revol_bal; revol_util ;total_pymnt;loan_status
2;2500; 60 months;15.27%;59.83;< 1 year;RENT;30000;car;bike;GA;0;1687; 0.094 ;1014.53;Charged Off
4;10000; 36 months;13.49%;339.31;10+ years;RENT;49200;other;personel;CA;0;5598; 0.210 ;12231.89;Fully Paid
5;3000; 60 months;12.69%;67.79;1 year;RENT;80000;other;Personal;OR;0;27783; 0.539 ;4066.908161;Fully Paid
6;5000; 36 months;7.90%;156.46;3 years;RENT;36000;wedding;My wedding loan I promise to pay back;AZ;0;7963; 0.283 ;5632.21;Fully Paid
7;7000; 60 months;15.96%;170.08;8 years;RENT;47004;debt_consolidation;Loan;NC;0;17726; 0.856 ;10137.84001;Fully Paid
8;3000; 36 months;18.64%;109.43;9 years;RENT;48000;car;Car Downpayment;CA;0;8221; 0.875 ;3939.135294;Fully Paid
10;5375; 60 months;12.69%;121.45;< 1 year;RENT;15000;other;Building my credit history.;TX;0;9279; 0.365 ;1484.59;Charged Off
11;6500; 60 months;14.65%;153.45;5 years;OWN;72000;debt_consolidation;High intrest Consolidation;AZ;0;4032; 0.206 ;7678.017673;Fully Paid
12;12000; 36 months;12.69%;402.54;10+ years;OWN;75000;debt_consolidation;Consolidation;CA;0;23336; 0.671 ;13947.98916;Fully Paid
14;3000; 36 months;9.91%;96.68;3 years;RENT;15000;credit_card;citicard fund;IL;0;7323; 0.431 ;3480.269999;Fully Paid
16;1000; 36 months;16.29%;35.31;< 1 year;RENT;28000;debt_consolidation;Debt Consolidation Loan;MO;0;6524; 0.815 ;1270.716942;Fully Paid
17;10000; 36 months;15.27%;347.98;4 years;RENT;42000;home_improvement;Home;CA;0;24043; 0.702 ;12527.15;Fully Paid
19;6000; 36 months;11.71%;198.46;1 year;MORTGAGE;84000;medical;Medical;UT;2;0; 0.377 ;7167.072893;Fully Paid
20;9200; 36 months;6.03%;280.01;6 years;RENT;77385.19;debt_consolidation;lowerratemeanseasiertogetoutofdebt!;CA;0;7314; 0.231 ;9460.000848;Fully Paid
21;20250; 60 months;15.27%;484.63;3 years;RENT;43370;debt_consolidation;Freedom From Credit Cards;TX;0;17813; 0.856 ;27679.05;Fully Paid
22;21000; 36 months;12.42%;701.73;10+ years;RENT;105000;debt_consolidation;Debt Cleanup;FL;0;32135; 0.903 ;14034.6;Charged Off
23;10000; 36 months;11.71%;330.76;10+ years;OWN;50000;credit_card;Credit Card Loan;TX;0;10056; 0.824 ;11907.35;Fully Paid
24;10000; 36 months;11.71%;330.76;5 years;RENT;50000;debt_consolidation;Debt Consolidation;CA;0;17800; 0.918 ;11540.89198;Fully Paid
25;6000; 36 months;11.71%;198.46;1 year;RENT;76000;major_purchase;cash;CA;0;5963; 0.297 ;2055.85;Charged Off
28;5000; 60 months;16.77%;123.65;2 years;RENT;50004;other;Other;PA;3;4345; 0.595 ;1611.16;Charged Off
30;8500; 36 months;11.71%;281.15;< 1 year;RENT;25000;credit_card;Credit card repayment loan;MN;0;6441; 0.591 ;10126.08844;Fully Paid
32;31825; 36 months;7.90%;995.82;5 years;MORTGAGE;75000;debt_consolidation;Debt Consolidation Loan;NJ;0;23151; 0.274 ;34886.91378;Fully Paid
34;5000; 36 months;8.90%;158.77;2 years;RENT;24044;debt_consolidation;Consolidation;OR;0;2224; 0.293 ;5715.56;Fully Paid
37;10800; 36 months;9.91%;348.03;2 years;RENT;55596;;;;;;;;Fully Paid
38;15000; 36 months;7.90%;469.36;1 year;RENT;45000;debt_consolidation;Debt Consolidation Loan;OH;0;6704; 0.504 ;16663.34403;Fully Paid
39;6000; 36 months;12.42%;200.5;1 year;RENT;36852;debt_consolidation;Credit Card Consolidation;AZ;0;7310; 0.665 ;7127.722011;Fully Paid
40;12500; 60 months;12.69%;282.44;1 year;RENT;27000;debt_consolidation;Credit card debt;IL;0;10143; 0.500 ;16945.87595;Fully Paid
41;9600; 36 months;7.51%;298.67;4 years;RENT;68004;other;Other Loan;SC;0;2896; 0.181 ;10751.86997;Fully Paid
42;12000; 36 months;7.90%;375.49;10+ years;RENT;62300;debt_consolidation;Debt Consolidation;NJ;0;8601; 0.210 ;13517.36;Fully Paid
46;14000; 36 months;9.91%;451.15;6 years;RENT;80000;small_business;Small Business Loan;MA;0;2219; 0.134 ;16241.38;Fully Paid
47;5000; 36 months;8.90%;158.77;10+ years;MORTGAGE;100000;debt_consolidation;Debt Consolidation for a better life;OH;0;74351; 0.621 ;5028.87;Charged Off
48;10000; 36 months;10.65%;325.74;6 years;RENT;27000;other;Other Loan;NY;0;7814; 0.523 ;11726.32;Fully Paid
50;11000; 36 months;6.62%;337.75;5 years;RENT;70000;debt_consolidation;Debt Consolitation ;CT;0;11638; 0.364 ;12158.61;Fully Paid
51;15000; 36 months;9.91%;483.38;8 years;MORTGAGE;80000;debt_consolidation;Debt Consolidation Loan;IL;0;11845; 0.637 ;16177.77;Charged Off
52;25600; 36 months;9.91%;824.96;9 years;RENT;110000;credit_card;Credit card refinance loan;CA;0;26088; 0.620 ;29698.51;Fully Paid
53;7000; 36 months;10.65%;228.02;< 1 year;RENT;40000;debt_consolidation;Loan 12142011;CA;0;12168; 0.929 ;8208.410003;Fully Paid
54;12000; 36 months;15.96%;421.65;4 years;RENT;50000;car;Car Loan;CA;0;15793; 0.908 ;3531.77;Charged Off
55;12000; 36 months;9.91%;386.7;1 year;RENT;46000;credit_card;Credit Cards;TX;0;12143; 0.521 ;13751.14474;Fully Paid
56;21000; 60 months;19.91%;555.33;7 years;RENT;50000;debt_consolidation; Bill pay of;WA;0;19448; 0.976 ;18325.89;Charged Off
57;16000; 60 months;19.91%;423.11;7 years;RENT;81000;credit_card;refinance debt;MA;0;27884; 0.751 ;20882.09701;Fully Paid
59;10000; 36 months;10.65%;325.74;2 years;RENT;51400;credit_card;My End to Bad Spending Habits Plan;TX;0;10160; 0.591 ;10576.43411;Fully Paid
60;7100; 36 months;16.77%;252.33;1 year;MORTGAGE;33000;debt_consolidation;To pay of all debt;TX;0;6021; 0.912 ;9083.530005;Fully Paid
61;13000; 60 months;12.69%;293.74;< 1 year;MORTGAGE;30000;debt_consolidation;Debt Consolidation Loan;NJ;0;17080; 0.589 ;17402.23999;Fully Paid
62;17500; 60 months;17.27%;223.74;6 years;RENT;40000;small_business;Start Up;CA;0;10724; 0.589 ;13227.10001;Fully Paid
63;17675; 60 months;14.65%;417.25;< 1 year;RENT;50000;debt_consolidation;Debt Consolidation Loan;WI;0;6661; 0.574 ;21323.86749;Fully Paid
64;8000; 36 months;16.77%;284.31;< 1 year;RENT;62000;debt_consolidation;Debt Consolidation Loan;VA;0;6088; 0.669 ;10273.24;Fully Paid
65;10000; 60 months;10.65%;215.69;10+ years;RENT;45996;debt_consolidation;Consolidation;OH;0;11170; 0.301 ;8772.91;Charged Off
67;12500; 60 months;17.27%;223.11;5 years;RENT;30000;debt_consolidation;allen;MN;0;9844; 0.708 ;5577.75;Charged Off
68;16425; 36 months;14.27%;563.53;4 years;RENT;44544;debt_consolidation;New Start;CA;0;15747; 0.834 ;18174.82881;Fully Paid
70;15000; 36 months;14.65%;517.42;2 years;OWN;61000;credit_card;Credit Refinance;FL;0;19397; 0.795 ;18565.14804;Fully Paid
71;20975; 60 months;17.58%;341.63;5 years;MORTGAGE;44000;credit_card;Refinance Loan;GA;0;20657; 0.794 ;18112.46087;Fully Paid
72;6400; 36 months;16.77%;227.45;5 years;RENT;75000;debt_consolidation;Help;CA;0;7159; 0.675 ;4776.45;Charged Off
73;3000; 36 months;13.49%;101.8;1 year;RENT;33600;debt_consolidation;Credit Card Consolidation;AL;0;2745; 0.832 ;3247.889478;Fully Paid
76;12000; 36 months;14.65%;413.94;10+ years;RENT;90000;debt_consolidation;Debt Consolidation Loan;NJ;0;17116; 0.785 ;12699.71201;Fully Paid
77;11000; 36 months;13.49%;373.24;10+ years;MORTGAGE;48000;debt_consolidation;Debt Consolidation;TX;0;11382; 0.650 ;13418.28;Fully Paid
79;15000; 36 months;7.90%;469.36;1 year;MORTGAGE;52000;small_business;Small_Business Loan;TX;0;1616; 0.067 ;15557.68008;Fully Paid
82;10000; 36 months;14.27%;343.09;2 years;RENT;68000;credit_card;CC Refi Loan;PA;0;11303; 0.813 ;10672.89443;Fully Paid
