,year,rank,singer,song
0,1940,1, Bing Crosby,White Christmas 
1,1940,2, Nat “King” Cole,The Christmas Song 
2,1940,3, Billie Holiday,God Bless The Child 
3,1940,4, Duke Ellington,Take The “A” Train 
4,1940,5, Artie Shaw,Stardust 
5,1940,6, Bing Crosby,Swinging On A Star 
6,1940,7, Mills Brothers,You Always Hurt The One You Love 
7,1940,8, Andrews Sisters,Boogie Woogie Bugle Boy 
8,1940,9, Glenn Miller (Tex Beneke &amp;theModernaires),Chattanooga Choo Choo 
9,1940,10, Mills Brothers,Paper Doll 
10,1940,11, Gene Autry,"Rudolph, The Red-Nosed Reindeer "
11,1940,12, Les Brown (Doris Day),Sentimental Journey 
12,1940,13, Bing Crosby  Tommy Dorsey (Frank Sinatra),I’ll Be Seeing You 
13,1940,14, Tommy Dorsey (Frank Sinatra),I’ll Never Smile Again 
14,1940,15, Vaughn Monroe  Peggy Lee,Riders In The Sky (A Cowboy Legend) 
15,1940,16, Guy Lombardo,Auld Lang Syne 
16,1940,17, Frankie Laine  Sammy Kaye,That’s My Desire 
17,1940,18, Bing Crosby &amp; the Andrews Sisters  Roy Rogers  Gene Autry,Don’t Fence Me In 
18,1940,19, Kay Kyser  Gene Autry,"Jingle, Jangle, Jingle "
19,1940,20, Glenn Miller,Tuxedo Junction 
20,1940,21, Nat “King” Cole  Frank Sinatra  Sarah Vaughan,Nature Boy 
21,1940,22, Xavier Cugat  Jimmy Dorsey (Bob Eberly &amp; Helen O’Connell),Brazil 
22,1940,23, Jimmy Dorsey (Bob Eberly &amp; Helen O’Connell),Green Eyes 
23,1940,24, Artie Shaw,Frenesi 
24,1940,25, Perry Como  Les Brown  Dick Haymes,Till The End Of Time 
25,1940,26, Billie Holiday  Sarah Vaughan,Lover Man (Oh Where Can You Be) 
26,1940,27, Glenn Miller,Moonlight Cocktail 
27,1940,28, Lena Horne,Stormy Weather 
28,1940,29, Woody Guthrie,This Land Is Your Land 
29,1940,30, Jimmie Davis,You Are My Sunshine 
30,1940,31, Frankie Laine  Vaughn Monroe,That Lucky Old Sun 
31,1940,32, Nat “King” Cole  Eddy Howard  Dinah Shore,(I Love You) For Sentimental Reasons 
32,1940,33, Glenn Miller (Marion Hutton &amp; the Modernaires),(I’ve Got A Gal In) Kalamazoo 
33,1940,34, Glenn Miller  Andrews Sisters,Don’t Sit Under The Apple Tree 
34,1940,35, Johnny Mercer  Bing Crosby &amp; the Andrews Sisters,Ac-Cent-Tchu-Ate The Positive 
35,1940,36, Jimmy Dorsey  Wayne King,Maria Elena 
36,1940,37, Glenn Miller,A String Of Pearls 
37,1940,38, Ink Spots  Dinah Shore  Sammy Kaye (Mary Marlow),The Gypsy 
38,1940,39, Peggy Lee,Manana (Is Soon Enough For Me) 
39,1940,40, Francis Craig  Andrews Sisters  Larry Green  Alvino Rey,Near You 
40,1940,41, Jimmy Dorsey (Bob Eberly &amp; Helen O’Connell),Amapola 
41,1940,42, Harmonicats  Buddy Clark  Three Suns,Peg O’ My Heart 
42,1940,43, Glenn Miller,Pennsylvania 6-5000 
43,1940,44, Al Dexter  Bing Crosby &amp; the Andrews Sisters,Pistol Packin’ Mama 
44,1940,45, Dick Haymes  Frank Sinatra,You’ll Never Know 
45,1940,46, Eddy Howard  Ink Spots  Freddy Martin  Modernaires,To Each His Own 
46,1940,47, Ink Spots  Hoarce Heidt  Tommy Tucker,I Don’t Want To Set The World On Fire 
47,1940,48, Sons Of The Pioneers,Cool Water 
48,1940,49, Dooley Wilson,As Time Goes By 
